cluster,movie_id,movie_name,genre
2,tt0031259,Dust Be My Destiny,"Crime, Drama, Film-Noir"
1,tt0031305,Fighting Mad,"Action, Adventure, Drama"
1,tt0031320,Flight at Midnight,"Action, Adventure, Drama"
0,tt0031381,Gone with the Wind,"Drama, Romance, War"
1,tt0031387,The Gorilla,"Comedy, Horror"
3,tt0031397,Gulliver's Travels,"Animation, Adventure, Comedy"
3,tt0031580,The Little Princess,"Comedy, Drama, Family"
2,tt0031614,The Man They Could Not Hang,"Crime, Horror, Sci-Fi"
0,tt0031762,Only Angels Have Wings,"Adventure, Drama, Romance"
0,tt0031835,The Rains Came,"Adventure, Drama, Romance"
4,tt0031951,Son of Frankenstein,"Drama, Horror, Sci-Fi"
3,tt0032138,The Wizard of Oz,"Adventure, Family, Fantasy"
1,tt0032152,You Can't Cheat an Honest Man,"Comedy, Family, Music"
0,tt0032155,Young Mr. Lincoln,"Biography, Drama, History"
0,tt0032194,"All This, and Heaven Too","Drama, Romance"
1,tt0032220,"Arise, My Love","Comedy, Drama, Romance"
1,tt0032342,City for Conquest,"Drama, Music, Sport"
3,tt0032410,Down Argentine Way,"Comedy, Drama, Musical"
1,tt0032455,Fantasia,"Animation, Family, Fantasy"
2,tt0032467,The Fighting 69th,"Action, Adventure, Biography"
0,tt0032553,The Great Dictator,"Comedy, Drama, War"
1,tt0032602,Hold That Woman!,"Comedy, Crime, Romance"
1,tt0032629,In Old Missouri,"Adventure, Comedy, Drama"
1,tt0032642,Isle of Destiny,"Action, Adventure, Drama"
2,tt0032802,Gorky 3: My Universities,"Biography, Drama"
3,tt0032904,The Philadelphia Story,"Comedy, Romance"
3,tt0032910,Pinocchio,"Animation, Adventure, Comedy"
4,tt0032976,Rebecca,"Drama, Film-Noir, Mystery"
3,tt0033028,The Sea Hawk,"Action, Adventure, History"
3,tt0033045,The Shop Around the Corner,"Comedy, Drama, Romance"
3,tt0033110,Strike Up the Band,"Comedy, Musical, Romance"
2,tt0033149,They Drive by Night,"Crime, Drama, Film-Noir"
2,tt0033244,The Way of All Flesh,"Crime, Drama, Romance"
2,tt0033337,Among the Living,"Drama, Film-Noir, Mystery"
1,tt0033429,Bowery Boy,"Action, Adventure, Crime"
1,tt0033459,Cheers for Miss Bishop,"Drama, Romance"
0,tt0033467,Citizen Kane,"Drama, Mystery"
3,tt0033563,Dumbo,"Animation, Adventure, Drama"
2,tt0033747,I'll Sell My Life,"Action, Crime, Drama"
2,tt0033760,Invisible Ghost,"Crime, Drama, Horror"
1,tt0033803,Lady Be Good,"Comedy, Music, Musical"
1,tt0033804,The Lady Eve,"Comedy, Romance"
4,tt0033870,The Maltese Falcon,"Crime, Film-Noir, Mystery"
2,tt0034126,Romeo und Julia auf dem Dorfe,"Drama, Romance"
1,tt0034266,Tarzan's Secret Treasure,"Action, Adventure, Romance"
1,tt0034268,"Doctor, Beware","Comedy, Drama, Romance"
1,tt0034370,The Wagons Roll at Night,"Drama, Romance"
1,tt0034384,Western Union,"Drama, History, Western"
1,tt0034405,A Yank in the R.A.F.,"Action, Adventure, Drama"
1,tt0034439,Ala-Arriba!,"Drama, Romance"
3,tt0034492,Bambi,"Animation, Adventure, Drama"
2,tt0034521,Black Dragons,"Thriller, War"
1,tt0034551,Brooklyn Orchid,"Comedy, Music, Romance"
0,tt0034583,Casablanca,"Drama, Romance, War"
2,tt0034637,The Dawn Express,"Action, Crime, Drama"
1,tt0034646,Desperate Journey,"Drama, War"
0,tt0034734,Spitfire,"Adventure, Biography, Drama"
3,tt0034862,Holiday Inn,"Comedy, Drama, Music"
1,tt0034885,Ice Capades Revue,"Comedy, Music, Romance"
1,tt0034891,In Which We Serve,"Drama, War"
1,tt0035019,The Major and the Minor,"Comedy, Romance"
2,tt0035078,The Moon and Sixpence,"Drama, Romance"
0,tt0035093,Mrs. Miniver,"Drama, Romance, War"
2,tt0035121,The Next of Kin,"Drama, Mystery, Thriller"
1,tt0035211,The Pride of the Yankees,"Biography, Drama, Romance"
0,tt0035244,Reap the Wild Wind,"Action, Adventure, Drama"
3,tt0035360,Son of Fury: The Story of Benjamin Blake,"Drama, Romance"
1,tt0035423,Kate & Leopold,"Comedy, Fantasy, Romance"
0,tt0035446,To Be or Not to Be,"Comedy, Romance, War"
3,tt0035583,You Were Never Lovelier,"Comedy, Musical, Romance"
2,tt0035640,The Ape Man,"Drama, Horror, Sci-Fi"
1,tt0035727,Hit Parade of 1943,"Music, Romance"
1,tt0035751,The Constant Nymph,"Drama, Music, Mystery"
4,tt0035807,Another Dawn,"Drama, Romance, Thriller"
4,tt0035884,Five Graves to Cairo,"Thriller, War"
0,tt0035896,For Whom the Bell Tolls,"Adventure, Drama, History"
4,tt0035937,The Ghost Ship,"Drama, Mystery, Thriller"
1,tt0035938,The Ghost and the Guest,"Comedy, Drama, Fantasy"
1,tt0035979,Heaven Can Wait,"Comedy, Drama, Fantasy"
1,tt0036092,A Lady Takes a Chance,"Comedy, Romance, Western"
1,tt0036208,No Time for Love,"Comedy, Romance"
4,tt0036341,The Seventh Victim,"Drama, Horror, Mystery"
4,tt0036342,Shadow of a Doubt,"Film-Noir, Thriller"
1,tt0036432,Thousands Cheer,"Comedy, Drama, Musical"
2,tt0036443,Titanic,"Action, Drama, History"
0,tt0036515,Watch on the Rhine,"Drama, Thriller"
2,tt0036575,Derrière la façade,"Comedy, Crime, Drama"
1,tt0036613,Arsenic and Old Lace,"Comedy, Crime, Thriller"
1,tt0036619,Atlantic City,"Musical, Romance"
2,tt0036736,Cécile est morte!,"Crime, Drama, Film-Noir"
4,tt0036775,Double Indemnity,"Crime, Drama, Film-Noir"
1,tt0036838,Die Frau meiner Träume,"Comedy, Musical, Romance"
0,tt0036868,The Best Years of Our Lives,"Drama, Romance, War"
1,tt0036880,The Great Moment,"Biography, Drama"
2,tt0036886,Guest in the House,"Drama, Film-Noir, Music"
2,tt0036931,House of Frankenstein,"Fantasy, Horror, Sci-Fi"
1,tt0036941,I'm from Arkansas,"Comedy, Music, Romance"
2,tt0036977,Jubilation Street,"Drama, War"
0,tt0036989,Burning Hearts,"Drama, History, Romance"
1,tt0037045,Man from Frisco,"Drama, Romance, War"
1,tt0037077,The Miracle of Morgan's Creek,"Comedy, Romance, War"
4,tt0037101,"Murder, My Sweet","Crime, Drama, Film-Noir"
2,tt0037166,Passage to Marseille,"Adventure, Drama, Romance"
1,tt0037193,The Princess and the Pirate,"Adventure, Comedy, Romance"
3,tt0037323,The Fighting Sullivans,"Biography, Drama, History"
