movie_id,movie_name,cluster,genre
tt0020668,The Bat Whispers,2,"Crime, Drama, Horror"
tt0020691,The Big Trail,1,"Adventure, Romance, Western"
tt0020842,Three from the Filling Station,1,"Comedy, Musical, Romance"
tt0020876,Feet First,1,"Adventure, Comedy, Family"
tt0021016,Just Imagine,1,"Comedy, Fantasy, Musical"
tt0021030,Knowing Men,1,"Comedy, Romance"
tt0021165,Murder!,4,"Crime, Mystery, Thriller"
tt0021192,Numbered Men,1,"Crime, Drama"
tt0021309,The Story of the Fox,1,"Animation, Adventure, Comedy"
tt0021310,Romance,1,"Drama, Romance"
tt0021505,The Unholy Three,2,"Crime, Drama, Romance"
tt0021616,Ariane,1,"Drama, Romance"
tt0021749,City Lights,3,"Comedy, Drama, Romance"
tt0021815,Drácula,4,"Drama, Fantasy, Horror"
tt0021818,The 3 Penny Opera,4,"Comedy, Crime, Drama"
tt0021884,Frankenstein,4,"Drama, Horror, Sci-Fi"
tt0021890,The Front Page,2,"Comedy, Crime, Drama"
tt0022034,Congress Dances,3,"Comedy, History, Musical"
tt0022100,M,4,"Crime, Mystery, Thriller"
tt0022149,Millie,2,"Drama, Romance"
tt0022290,Quick Millions,2,"Crime, Drama"
tt0022578,Working Girls,1,"Drama, Romance"
tt0022615,Air Mail,1,"Adventure, Drama"
tt0022645,Au nom de la loi,2,"Crime, Drama"
tt0022689,Bird of Paradise,1,"Adventure, Drama, Romance"
tt0022699,A Blonde Dream,1,"Comedy, Musical, Romance"
tt0022835,Dr. Jekyll and Mr. Hyde,4,"Horror, Sci-Fi"
tt0022867,Ecstasy,2,"Drama, Romance"
tt0022879,A Farewell to Arms,2,"Drama, Romance, War"
tt0022913,Freaks,2,"Drama, Horror"
tt0023194,The Mask of Fu Manchu,2,"Adventure, Horror, Sci-Fi"
tt0023284,Night at the Crossroads,4,"Crime, Drama, Mystery"
tt0023382,Red Dust,1,"Comedy, Drama, Romance"
tt0023395,East of Shanghai,1,"Comedy, Drama, Romance"
tt0023525,The Strange Love of Molly Louvain,1,"Crime, Drama, Romance"
tt0023589,Three Wise Girls,1,"Comedy, Drama, Romance"
tt0023616,Trailing the Killer,1,"Adventure, Thriller, Western"
tt0023622,Trouble in Paradise,1,"Comedy, Crime, Romance"
tt0023649,Vampyr,4,"Fantasy, Horror"
tt0023694,White Zombie,2,Horror
tt0023731,"20, 000 Years in Sing Sing",2,"Crime, Drama, Film-Noir"
tt0023808,The Big Chance,1,"Action, Adventure, Comedy"
tt0023902,Godfather Mendoza,4,"Drama, War"
tt0023973,The Eagle and the Hawk,2,"Action, Drama, War"
tt0024044,Gabriel Over the White House,0,"Drama, Fantasy, Romance"
tt0024055,The Ghoul,2,"Action, Drama, Horror"
tt0024083,Hallelujah I'm a Bum,1,"Comedy, Drama, Musical"
tt0024151,I Cover the Waterfront,2,"Crime, Drama, Romance"
tt0024184,The Invisible Man,4,"Horror, Sci-Fi"
tt0024188,Island of Lost Souls,4,"Film-Noir, Horror, Sci-Fi"
tt0024216,King Kong,0,"Adventure, Horror, Sci-Fi"
tt0024262,The Little Giant,1,"Comedy, Crime, Romance"
tt0024264,Little Women,3,"Drama, Family, Romance"
tt0024302,Man's Castle,1,"Drama, Romance"
tt0024480,July 14,1,"Comedy, Romance"
tt0024500,Riders of Destiny,2,"Music, Romance, Western"
tt0024548,She Done Him Wrong,1,"Comedy, Drama, History"
tt0024645,Tarzan the Fearless,1,"Adventure, Family"
tt0024647,The Telegraph Trail,1,"Action, Adventure, Western"
tt0024894,The Black Cat,4,"Adventure, Crime, Horror"
tt0025028,Dames,1,"Comedy, Music, Musical"
tt0025062,Two Monks,2,"Drama, Horror, Mystery"
tt0025134,Four Frightened People,1,"Adventure, Drama"
tt0025204,Green Eyes,2,Mystery
tt0025248,"Workers, Let's Go",1,"Adventure, Comedy, Romance"
tt0025271,The House of Mystery,2,Mystery
tt0025316,It Happened One Night,1,"Comedy, Romance"
tt0025335,Judge Priest,1,"Comedy, Drama, Romance"
tt0025480,Bad Seed,2,"Comedy, Drama, Romance"
tt0025543,Mystery Liner,2,"Adventure, Mystery"
tt0025610,Our Daily Bread,1,"Drama, Romance"
tt0025681,The Private Life of Don Juan,1,"Adventure, Comedy, Romance"
tt0025740,Sadie McKee,1,"Drama, Romance"
tt0025896,Tiger Bay,2,"Crime, Drama, Romance"
tt0025898,Toni,2,"Crime, Drama, Romance"
tt0025907,Treasure Island,0,"Adventure, Family"
tt0025919,Twentieth Century,1,"Comedy, Romance"
tt0026023,Zouzou,1,"Crime, Musical, Romance"
tt0026185,The Case of the Lucky Legs,2,"Comedy, Crime, Mystery"
tt0026276,The Devil Is a Woman,2,"Comedy, Drama, Romance"
tt0026556,Justin de Marseille,2,"Crime, Drama"
tt0026606,The Last Journey,2,"Crime, Drama"
tt0026661,Luponini de Chicago,2,"Action, Comedy, Crime"
tt0026663,Mad Love,4,"Horror, Romance, Sci-Fi"
tt0026667,Magnificent Obsession,1,"Drama, Music, Mystery"
tt0026673,The Man from Guntown,1,"Action, Adventure, Western"
tt0026752,Mutiny on the Bounty,0,"Adventure, Biography, Drama"
tt0027042,Steamboat Round the Bend,1,"Comedy, Drama, Romance"
tt0027125,Top Hat,3,"Comedy, Musical, Romance"
tt0027146,Two Sinners,1,Romance
tt0027189,The Wedding Night,1,"Drama, Romance"
tt0027231,Yidl mitn fidl,3,"Comedy, Musical, Romance"
tt0027240,Let's Go with Pancho Villa,4,"Drama, War"
tt0027407,Bullets or Ballots,2,"Crime, Drama, Film-Noir"
tt0027652,Fury,4,"Crime, Drama, Film-Noir"
tt0027764,The House of a Thousand Candles,2,"Action, Romance"
tt0027877,The Leathernecks Have Landed,2,"Action, Adventure, Romance"
tt0027977,Modern Times,3,"Comedy, Drama, Romance"
tt0027996,Mr. Deeds Goes to Town,3,"Comedy, Drama, Romance"
tt0028167,Rembrandt,0,"Biography, Drama"
tt0028203,Romeo and Juliet,0,"Drama, Romance"
tt0028212,Sabotage,4,"Crime, Thriller"
tt0028216,San Francisco,3,"Drama, Music, Romance"
tt0028346,Reefer Madness,2,"Comedy, Crime, Drama"
tt0028511,Winterset,4,"Crime, Drama, Music"
tt0028622,Without Dowry,2,"Drama, Romance"
tt0028663,Dangerous Secrets,2,"Drama, Romance"
tt0028714,Chikemuri Takadanobaba,2,"Action, Comedy, Drama"
tt0028767,Dark Journey,2,"Adventure, Crime, Romance"
tt0028953,The Great Garrick,1,"Comedy, Romance"
tt0029054,It Could Happen to You,2,"Action, Adventure, Crime"
tt0029080,Kid Galahad,2,"Crime, Drama, Film-Noir"
tt0029207,The Mandarin Mystery,2,"Comedy, Crime, Film-Noir"
tt0029209,Manhattan Merry-Go-Round,1,"Comedy, Drama, Music"
tt0029272,Nobody's Wife,1,"Drama, Romance"
tt0029433,Portia on Trial,2,"Crime, Drama"
tt0029583,Snow White and the Seven Dwarfs,3,"Animation, Adventure, Family"
tt0029604,Stage Door,1,"Comedy, Drama, Romance"
tt0029712,Under the Red Robe,1,"Adventure, Romance"
tt0029826,L'étrange Monsieur Victor,4,"Crime, Drama"
tt0029850,Alexander Nevsky,0,"Action, Biography, Drama"
tt0029929,Bluebeard's Eighth Wife,1,"Comedy, Romance"
tt0029939,Born to Be Wild,1,"Action, Comedy, Drama"
tt0029950,The Buccaneer,1,"Adventure, Biography, Drama"
tt0030082,The Drum,1,"Adventure, War"
tt0030341,The Lady Vanishes,4,"Mystery, Thriller"
tt0030409,Man from Music Mountain,1,"Action, Music, Romance"
tt0030418,Marie Antoinette,0,"Biography, Drama, History"
tt0030637,Pygmalion,1,"Comedy, Drama, Romance"
tt0030743,The Shining Hour,1,"Drama, Music, Romance"
tt0030798,Storm Over Bengal,1,"Action, Adventure, Romance"
tt0030845,The Terror of Tiny Town,1,"Family, Western"
tt0030996,You and Me,1,"Crime, Film-Noir"
tt0031055,The Arsenal Stadium Mystery,2,"Comedy, Crime, Sport"
tt0031058,Ask a Policeman,1,"Adventure, Comedy, Crime"
tt0031067,Bachelor Mother,1,"Comedy, Romance"
tt0031068,Back Door to Heaven,2,"Crime, Drama, Music"
tt0031252,Drums Along the Mohawk,0,"Drama, Romance, War"
tt0031259,Dust Be My Destiny,2,"Crime, Drama, Film-Noir"
tt0031305,Fighting Mad,1,"Action, Adventure, Drama"
tt0031320,Flight at Midnight,1,"Action, Adventure, Drama"
tt0031381,Gone with the Wind,0,"Drama, Romance, War"
tt0031387,The Gorilla,1,"Comedy, Horror"
tt0031397,Gulliver's Travels,3,"Animation, Adventure, Comedy"
tt0031580,The Little Princess,3,"Comedy, Drama, Family"
tt0031614,The Man They Could Not Hang,2,"Crime, Horror, Sci-Fi"
tt0031762,Only Angels Have Wings,0,"Adventure, Drama, Romance"
tt0031835,The Rains Came,0,"Adventure, Drama, Romance"
tt0031951,Son of Frankenstein,4,"Drama, Horror, Sci-Fi"
tt0032138,The Wizard of Oz,3,"Adventure, Family, Fantasy"
tt0032152,You Can't Cheat an Honest Man,1,"Comedy, Family, Music"
tt0032155,Young Mr. Lincoln,0,"Biography, Drama, History"
tt0032194,"All This, and Heaven Too",0,"Drama, Romance"
tt0032220,"Arise, My Love",1,"Comedy, Drama, Romance"
tt0032342,City for Conquest,1,"Drama, Music, Sport"
tt0032410,Down Argentine Way,3,"Comedy, Drama, Musical"
tt0032455,Fantasia,1,"Animation, Family, Fantasy"
tt0032467,The Fighting 69th,2,"Action, Adventure, Biography"
tt0032553,The Great Dictator,0,"Comedy, Drama, War"
tt0032602,Hold That Woman!,1,"Comedy, Crime, Romance"
tt0032629,In Old Missouri,1,"Adventure, Comedy, Drama"
tt0032642,Isle of Destiny,1,"Action, Adventure, Drama"
tt0032802,Gorky 3: My Universities,2,"Biography, Drama"
tt0032904,The Philadelphia Story,3,"Comedy, Romance"
tt0032910,Pinocchio,3,"Animation, Adventure, Comedy"
tt0032976,Rebecca,4,"Drama, Film-Noir, Mystery"
tt0033028,The Sea Hawk,3,"Action, Adventure, History"
tt0033045,The Shop Around the Corner,3,"Comedy, Drama, Romance"
tt0033110,Strike Up the Band,3,"Comedy, Musical, Romance"
tt0033149,They Drive by Night,2,"Crime, Drama, Film-Noir"
tt0033244,The Way of All Flesh,2,"Crime, Drama, Romance"
tt0033337,Among the Living,2,"Drama, Film-Noir, Mystery"
tt0033429,Bowery Boy,1,"Action, Adventure, Crime"
tt0033459,Cheers for Miss Bishop,1,"Drama, Romance"
tt0033467,Citizen Kane,0,"Drama, Mystery"
tt0033563,Dumbo,3,"Animation, Adventure, Drama"
tt0033747,I'll Sell My Life,2,"Action, Crime, Drama"
tt0033760,Invisible Ghost,2,"Crime, Drama, Horror"
tt0033803,Lady Be Good,1,"Comedy, Music, Musical"
tt0033804,The Lady Eve,1,"Comedy, Romance"
tt0033870,The Maltese Falcon,4,"Crime, Film-Noir, Mystery"
tt0034126,Romeo und Julia auf dem Dorfe,2,"Drama, Romance"
tt0034266,Tarzan's Secret Treasure,1,"Action, Adventure, Romance"
tt0034268,"Doctor, Beware",1,"Comedy, Drama, Romance"
tt0034370,The Wagons Roll at Night,1,"Drama, Romance"
tt0034384,Western Union,1,"Drama, History, Western"
tt0034405,A Yank in the R.A.F.,1,"Action, Adventure, Drama"
tt0034439,Ala-Arriba!,1,"Drama, Romance"
tt0034492,Bambi,3,"Animation, Adventure, Drama"
tt0034521,Black Dragons,2,"Thriller, War"
tt0034551,Brooklyn Orchid,1,"Comedy, Music, Romance"
tt0034583,Casablanca,0,"Drama, Romance, War"
tt0034637,The Dawn Express,2,"Action, Crime, Drama"
tt0034646,Desperate Journey,1,"Drama, War"
tt0034734,Spitfire,0,"Adventure, Biography, Drama"
tt0034862,Holiday Inn,3,"Comedy, Drama, Music"
tt0034885,Ice Capades Revue,1,"Comedy, Music, Romance"
tt0034891,In Which We Serve,1,"Drama, War"
tt0035019,The Major and the Minor,1,"Comedy, Romance"
tt0035078,The Moon and Sixpence,2,"Drama, Romance"
tt0035093,Mrs. Miniver,0,"Drama, Romance, War"
tt0035121,The Next of Kin,2,"Drama, Mystery, Thriller"
tt0035211,The Pride of the Yankees,1,"Biography, Drama, Romance"
tt0035244,Reap the Wild Wind,0,"Action, Adventure, Drama"
tt0035360,Son of Fury: The Story of Benjamin Blake,3,"Drama, Romance"
tt0035423,Kate & Leopold,1,"Comedy, Fantasy, Romance"
tt0035446,To Be or Not to Be,0,"Comedy, Romance, War"
tt0035583,You Were Never Lovelier,3,"Comedy, Musical, Romance"
tt0035640,The Ape Man,2,"Drama, Horror, Sci-Fi"
tt0035727,Hit Parade of 1943,1,"Music, Romance"
tt0035751,The Constant Nymph,1,"Drama, Music, Mystery"
tt0035807,Another Dawn,4,"Drama, Romance, Thriller"
tt0035884,Five Graves to Cairo,4,"Thriller, War"
tt0035896,For Whom the Bell Tolls,0,"Adventure, Drama, History"
tt0035937,The Ghost Ship,4,"Drama, Mystery, Thriller"
tt0035938,The Ghost and the Guest,1,"Comedy, Drama, Fantasy"
tt0035979,Heaven Can Wait,1,"Comedy, Drama, Fantasy"
tt0036092,A Lady Takes a Chance,1,"Comedy, Romance, Western"
tt0036208,No Time for Love,1,"Comedy, Romance"
tt0036341,The Seventh Victim,4,"Drama, Horror, Mystery"
tt0036342,Shadow of a Doubt,4,"Film-Noir, Thriller"
tt0036432,Thousands Cheer,1,"Comedy, Drama, Musical"
tt0036443,Titanic,2,"Action, Drama, History"
tt0036515,Watch on the Rhine,0,"Drama, Thriller"
tt0036575,Derrière la façade,2,"Comedy, Crime, Drama"
tt0036613,Arsenic and Old Lace,1,"Comedy, Crime, Thriller"
tt0036619,Atlantic City,1,"Musical, Romance"
tt0036736,Cécile est morte!,2,"Crime, Drama, Film-Noir"
tt0036775,Double Indemnity,4,"Crime, Drama, Film-Noir"
tt0036838,Die Frau meiner Träume,1,"Comedy, Musical, Romance"
tt0036868,The Best Years of Our Lives,0,"Drama, Romance, War"
tt0036880,The Great Moment,1,"Biography, Drama"
tt0036886,Guest in the House,2,"Drama, Film-Noir, Music"
tt0036931,House of Frankenstein,2,"Fantasy, Horror, Sci-Fi"
tt0036941,I'm from Arkansas,1,"Comedy, Music, Romance"
tt0036977,Jubilation Street,2,"Drama, War"
tt0036989,Burning Hearts,0,"Drama, History, Romance"
tt0037045,Man from Frisco,1,"Drama, Romance, War"
tt0037077,The Miracle of Morgan's Creek,1,"Comedy, Romance, War"
tt0037101,"Murder, My Sweet",4,"Crime, Drama, Film-Noir"
tt0037166,Passage to Marseille,2,"Adventure, Drama, Romance"
tt0037193,The Princess and the Pirate,1,"Adventure, Comedy, Romance"
tt0037323,The Fighting Sullivans,3,"Biography, Drama, History"
tt0037387,The Tower of the Seven Hunchbacks,2,"Comedy, Fantasy, Horror"
tt0037441,Voodoo Man,2,"Crime, Drama, Horror"
tt0037455,Western Approaches,2,"Drama, War"
tt0037458,When Strangers Marry,2,"Crime, Drama, Film-Noir"
tt0037461,The Whistler,2,"Film-Noir, Mystery"
tt0037469,The Woman in the Window,4,"Crime, Drama, Film-Noir"
tt0037549,The Body Snatcher,4,"Horror, Thriller"
tt0037557,Brewster's Millions,1,"Comedy, Music, Romance"
tt0037630,Les Dames du Bois de Boulogne,2,"Drama, Romance"
tt0037671,The Enchanted Cottage,1,"Drama, Fantasy, Romance"
tt0037680,Days of Hope,2,"Drama, War"
tt0037793,House of Dracula,2,"Fantasy, Horror, Sci-Fi"
tt0037811,Identity Unknown,1,"Drama, Music, Romance"
tt0037824,"Ivan the Terrible, Part I",4,"Biography, Drama, History"
tt0037909,Mexicana,1,"Music, Romance"
tt0037950,Notorious Gentleman,2,"Drama, Romance"
tt0038007,The Purple Monster Strikes,1,"Action, Sci-Fi"
tt0038031,Road to Alcatraz,2,"Action, Crime, Mystery"
tt0038046,"Salome, Where She Danced",1,"Adventure, Drama, Music"
tt0038169,Three's a Crowd,2,"Crime, Drama, Mystery"
tt0038182,The Men Who Tread on the Tiger's Tail,0,"Adventure, Drama, Thriller"
tt0038256,Without Love,1,"Comedy, Romance"
tt0038259,The Woman in Green,4,"Crime, Drama, Mystery"
tt0038262,Yolanda and the Thief,3,"Fantasy, Musical, Romance"
tt0038263,You Came Along,1,"Drama, Romance"
tt0038302,Anmol Ghadi,1,"Drama, Musical, Romance"
tt0038326,The Bandit of Sherwood Forest,1,"Action, Adventure, Family"
tt0038340,Beauty and the Bandit,1,"Drama, Romance, Western"
tt0038342,Bedelia,2,"Crime, Drama, Romance"
tt0038353,Beware,1,"Music, Romance"
tt0038355,The Big Sleep,4,"Crime, Film-Noir, Mystery"
tt0038361,Black Beauty,1,"Drama, Family, Romance"
tt0038366,Blonde for a Day,2,"Action, Adventure, Crime"
tt0038369,The Blue Dahlia,2,"Crime, Film-Noir, Mystery"
tt0038390,Caesar and Cleopatra,1,"Biography, Comedy, Drama"
tt0038409,The Chase,2,"Crime, Film-Noir, Romance"
tt0038418,A Close Call for Boston Blackie,2,"Comedy, Crime, Drama"
tt0038476,Devil in the Flesh,2,"Drama, Romance"
tt0038477,The Diary of a Chambermaid,2,"Drama, Romance"
tt0038504,Earl Carroll Sketchbook,1,"Comedy, Music, Romance"
tt0038650,It's a Wonderful Life,3,"Drama, Family, Fantasy"
tt0038704,Love Laughs at Andy Hardy,1,"Comedy, Family, Romance"
tt0038716,The Magnificent Rogue,1,"Comedy, Romance"
tt0038769,Murderers Among Us,4,"Drama, Romance, Thriller"
tt0038776,Night and Day,1,"Biography, Drama, Musical"
tt0038782,Nocturne,2,"Crime, Drama, Film-Noir"
tt0038787,Notorious,0,"Drama, Film-Noir, Romance"
tt0038794,O.S.S.,2,"Drama, War"
tt0038801,One Exciting Week,1,"Comedy, Crime, Romance"
tt0038918,Secrets of a Sorority Girl,2,"Crime, Drama"
tt0038990,The Strange Woman,2,"Drama, Romance, Thriller"
tt0039037,The Time of Their Lives,1,"Comedy, Family, Fantasy"
tt0039040,To Each His Own,1,"Drama, Romance"
tt0039042,Traffic in Crime,2,"Action, Adventure, Drama"
tt0039066,Undercurrent,4,"Drama, Film-Noir, Thriller"
tt0039158,Appointment with Crime,2,"Crime, Drama"
tt0039169,The Bachelor and the Bobby-Soxer,1,"Comedy, Romance"
tt0039190,The Bishop's Wife,3,"Comedy, Drama, Fantasy"
tt0039208,Boomerang!,4,"Crime, Drama, Film-Noir"
tt0039286,Crossfire,4,"Crime, Drama, Film-Noir"
tt0039310,The Last Vacation,1,"Drama, Romance"
tt0039314,Det kom en gäst...,2,Thriller
tt0039323,La diosa arrodillada,2,"Crime, Drama, Mystery"
tt0039340,Dreams That Money Can Buy,2,"Drama, Fantasy"
tt0039416,Gentleman's Agreement,2,"Drama, Romance"
tt0039431,Good News,1,"Comedy, Music, Musical"
tt0039438,The Guilt of Janet Ames,1,"Drama, Mystery, Romance"
tt0039482,I Walk Alone,2,"Crime, Drama, Film-Noir"
tt0039501,It Happened in Brooklyn,1,"Comedy, Musical, Romance"
tt0039567,Lighthouse,2,"Drama, Music, Romance"
tt0039591,The Macomber Affair,2,"Adventure, Drama"
tt0039628,Miracle on 34th Street,3,"Comedy, Drama, Family"
tt0039632,Monsieur Vincent,0,"Biography, Drama, History"
tt0039739,Quai des Orfèvres,2,"Crime, Drama"
tt0039894,That's My Gal,1,"Action, Comedy, Music"
tt0040098,Anna Karenina,2,"Drama, Romance"
tt0040271,A Date with Judy,1,"Comedy, Musical, Romance"
tt0040336,"Fado, História d'uma Cantadeira",1,"Drama, Musical, Romance"
tt0040539,Lightnin' in the Forest,1,"Action, Comedy, Crime"
tt0040695,Pitfall,4,"Crime, Film-Noir, Thriller"
tt0040737,Bitter Rice,2,"Crime, Drama"
tt0040746,Rope,4,"Crime, Drama, Mystery"
tt0040768,Secret Service Investigator,2,"Crime, Drama, Romance"
tt0040829,The Amazing Mr. X,2,"Film-Noir, Horror, Thriller"
tt0040895,Train to Alcatraz,2,"Action, Crime, Drama"
tt0040897,The Treasure of the Sierra Madre,4,"Adventure, Drama, Western"
tt0040946,Wake of the Red Witch,2,"Action, Adventure, Romance"
tt0040976,Words and Music,3,"Biography, Comedy, Musical"
tt0040979,Drunken Angel,4,"Crime, Drama, Romance"
tt0041113,All the King's Men,4,"Drama, Film-Noir"
tt0041281,Daughter of the Jungle,1,Adventure
tt0041340,Eureka Stockade,0,"Drama, History"
tt0041372,Flaming Fury,2,"Crime, Drama"
tt0041437,Guilty of Treason,4,"Biography, Drama, History"
tt0041460,The Hidden Room,4,"Crime, Film-Noir, Thriller"
tt0041461,Hideout,2,"Crime, Drama, Film-Noir"
tt0041509,The Inspector General,1,"Comedy, Musical, Romance"
tt0041513,Intruder in the Dust,4,"Crime, Drama, Family"
tt0041545,The Kid from Cleveland,1,"Drama, Family, Sport"
tt0041607,The Lucky Stiff,2,"Comedy, Crime"
tt0041615,Madame Bovary,2,"Drama, Romance"
tt0041628,The Man on the Eiffel Tower,2,"Mystery, Thriller"
tt0041640,La Marie du port,1,"Crime, Drama, Romance"
tt0041650,Mighty Joe Young,1,"Adventure, Drama, Fantasy"
tt0041705,La nuit fantastique,1,"Comedy, Fantasy, Romance"
tt0041788,The Red Danube,2,"Drama, Romance, War"
tt0041822,Rope of Sand,2,"Action, Adventure, Crime"
tt0041838,Samson and Delilah,0,"Drama, Family, History"
tt0041841,Sands of Iwo Jima,2,"Action, Drama, Romance"
tt0041890,So Dear to My Heart,3,"Animation, Drama, Family"
tt0041911,The Spider and the Fly,2,"Crime, Romance, Thriller"
tt0041959,The Third Man,4,"Film-Noir, Mystery, Thriller"
tt0041999,Border Street,4,"Drama, War"
tt0042040,Whisky Galore!,1,"Comedy, Crime"
tt0042261,The Blonde Bandit,2,"Action, Crime, Drama"
tt0042313,The Capture,2,"Crime, Drama, Western"
tt0042332,Cinderella,3,"Animation, Family, Fantasy"
tt0042395,Devil's Doorway,0,"Drama, Romance, Western"
tt0042511,The Golden Gloves Story,1,"Drama, Romance, Sport"
tt0042522,The Great Manhunt,2,"Drama, Romance, Thriller"
tt0042643,The Killer That Stalked New York,4,"Drama, Film-Noir, Thriller"
tt0042648,Kiss Tomorrow Goodbye,2,"Crime, Film-Noir, Thriller"
tt0042781,Native Son,4,"Drama, Film-Noir"
tt0042809,One Way Street,2,"Crime, Drama, Film-Noir"
tt0042830,Paid in Full,2,"Drama, Romance"
tt0042876,Rashomon,4,"Crime, Drama, Mystery"
tt0042952,Shadow on the Wall,2,"Comedy, Crime, Drama"
tt0042980,So Long at the Fair,4,"Drama, Mystery"
tt0043014,Sunset Blvd.,4,"Drama, Film-Noir"
tt0043017,Surrender,2,"Drama, Romance, Western"
tt0043024,Tarnished,2,"Action, Adventure, Crime"
tt0043067,Treasure Island,0,"Adventure, Family"
tt0043137,Winchester '73,2,"Action, Drama, Western"
tt0043265,The African Queen,3,"Adventure, Drama, Romance"
tt0043274,Alice in Wonderland,3,"Animation, Adventure, Comedy"
tt0043292,Appointment with Danger,2,"Crime, Drama, Film-Noir"
tt0043320,The Basketball Fix,2,"Crime, Drama, Film-Noir"
tt0043360,Bride of the Gorilla,2,"Adventure, Horror"
tt0043379,Captain Horatio Hornblower,0,"Action, Adventure, Drama"
tt0043456,The Day the Earth Stood Still,0,"Drama, Sci-Fi"
tt0043469,Distant Drums,1,"Action, Adventure, Drama"
tt0043547,Flying Leathernecks,2,"Action, Drama, War"
